,pipeline_name,method,id,kind,binary_variables,vars,constraints,sv_size,search_space
52,i2i+oneh,IF+XY,Comb4_0_decreasing.lp,Comb4_0,14,14,9,90.0,90.0
53,i2i,IF,Comb4_0_decreasing.lp,Comb4_0,14,14,9,16384.0,16384.0
54,oneh,XY,Comb4_0_decreasing.lp,Comb4_0,14,14,9,23592960.0,90.0
55,default,QUBO,Comb4_0_decreasing.lp,Comb4_0,14,14,9,4294967296.0,16384.0
56,i2i+oneh,IF+XY,Comb6_2_up_quadratic.lp,Comb6_2,34,34,14,5120.0,5120.0
57,i2i,IF,Comb6_2_up_quadratic.lp,Comb6_2,34,34,14,17179869184.0,17179869184.0
58,oneh,XY,Comb6_2_up_quadratic.lp,Comb6_2,34,34,14,5497558138880.0,5120.0
59,default,QUBO,Comb6_2_up_quadratic.lp,Comb6_2,34,34,14,1.8446744073709552e+19,17179869184.0
60,i2i+oneh,IF+XY,Comb2_0_increasing.lp,Comb2_0,7,7,7,12.0,12.0
61,i2i,IF,Comb2_0_increasing.lp,Comb2_0,7,7,7,128.0,128.0
62,oneh,XY,Comb2_0_increasing.lp,Comb2_0,7,7,7,49152.0,12.0
63,default,QUBO,Comb2_0_increasing.lp,Comb2_0,7,7,7,524288.0,128.0
64,i2i+oneh,IF+XY,Comb9_2_decreasing.lp,Comb9_2,63,63,18,1331000.0,1331000.0
65,i2i,IF,Comb9_2_decreasing.lp,Comb9_2,63,63,18,9.223372036854776e+18,9.223372036854776e+18
66,oneh,XY,Comb9_2_decreasing.lp,Comb9_2,63,63,18,9.1465623535616e+16,1331000.0
67,default,QUBO,Comb9_2_decreasing.lp,Comb9_2,63,63,18,6.338253001141147e+29,9.223372036854776e+18
68,i2i+oneh,IF+XY,Comb10_0_increasing.lp,Comb10_0,56,56,17,656100.0,656100.0
69,i2i,IF,Comb10_0_increasing.lp,Comb10_0,56,56,17,7.205759403792794e+16,7.205759403792794e+16
70,oneh,XY,Comb10_0_increasing.lp,Comb10_0,56,56,17,5635856085811200.0,656100.0
71,default,QUBO,Comb10_0_increasing.lp,Comb10_0,56,56,17,6.189700196426902e+26,7.205759403792794e+16
72,i2i+oneh,IF+XY,Comb7_2_decreasing.lp,Comb7_2,41,41,16,11000.0,11000.0
73,i2i,IF,Comb7_2_decreasing.lp,Comb7_2,41,41,16,2199023255552.0,2199023255552.0
74,oneh,XY,Comb7_2_decreasing.lp,Comb7_2,41,41,16,755914244096000.0,11000.0
75,default,QUBO,Comb7_2_decreasing.lp,Comb7_2,41,41,16,1.5111572745182865e+23,2199023255552.0
76,i2i+oneh,IF+XY,Comb0_2_up_quadratic.lp,Comb0_2,11,11,9,30.0,30.0
77,i2i,IF,Comb0_2_up_quadratic.lp,Comb0_2,11,11,9,2048.0,2048.0
78,oneh,XY,Comb0_2_up_quadratic.lp,Comb0_2,11,11,9,491520.0,30.0
79,default,QUBO,Comb0_2_up_quadratic.lp,Comb0_2,11,11,9,33554432.0,2048.0
80,i2i+oneh,IF+XY,Comb1_2_increasing.lp,Comb1_2,10,10,9,25.0,25.0
81,i2i,IF,Comb1_2_increasing.lp,Comb1_2,10,10,9,1024.0,1024.0
82,oneh,XY,Comb1_2_increasing.lp,Comb1_2,10,10,9,102400.0,25.0
83,default,QUBO,Comb1_2_increasing.lp,Comb1_2,10,10,9,4194304.0,1024.0
84,i2i+oneh,IF+XY,Comb5_0_decreasing.lp,Comb5_0,13,13,9,80.0,80.0
85,i2i,IF,Comb5_0_decreasing.lp,Comb5_0,13,13,9,8192.0,8192.0
86,oneh,XY,Comb5_0_decreasing.lp,Comb5_0,13,13,9,20971520.0,80.0
87,default,QUBO,Comb5_0_decreasing.lp,Comb5_0,13,13,9,2147483648.0,8192.0
88,i2i+oneh,IF+XY,Comb5_2_up_quadratic.lp,Comb5_2,19,19,11,252.0,252.0
89,i2i,IF,Comb5_2_up_quadratic.lp,Comb5_2,19,19,11,524288.0,524288.0
90,oneh,XY,Comb5_2_up_quadratic.lp,Comb5_2,19,19,11,4227858432.0,252.0
91,default,QUBO,Comb5_2_up_quadratic.lp,Comb5_2,19,19,11,8796093022208.0,524288.0
92,i2i+oneh,IF+XY,Comb8_2_decreasing.lp,Comb8_2,50,50,17,100000.0,100000.0
93,i2i,IF,Comb8_2_decreasing.lp,Comb8_2,50,50,17,1125899906842624.0,1125899906842624.0
94,oneh,XY,Comb8_2_decreasing.lp,Comb8_2,50,50,17,6871947673600000.0,100000.0
95,default,QUBO,Comb8_2_decreasing.lp,Comb8_2,50,50,17,7.737125245533627e+25,1125899906842624.0
96,i2i+oneh,IF+XY,Comb11_0_increasing.lp,Comb11_0,74,74,19,14374800.0,14374800.0
97,i2i,IF,Comb11_0_increasing.lp,Comb11_0,74,74,19,1.888946593147858e+22,1.888946593147858e+22
98,oneh,XY,Comb11_0_increasing.lp,Comb11_0,74,74,19,9.878287341846528e+17,14374800.0
99,default,QUBO,Comb11_0_increasing.lp,Comb11_0,74,74,19,1.298074214633707e+33,1.888946593147858e+22
100,i2i+oneh,IF+XY,Comb8_0_up_quadratic.lp,Comb8_0,40,40,15,32768.0,32768.0
101,i2i,IF,Comb8_0_up_quadratic.lp,Comb8_0,40,40,15,1099511627776.0,1099511627776.0
102,oneh,XY,Comb8_0_up_quadratic.lp,Comb8_0,40,40,15,35184372088832.0,32768.0
103,default,QUBO,Comb8_0_up_quadratic.lp,Comb8_0,40,40,15,1.1805916207174113e+21,1099511627776.0
104,i2i+oneh,IF+XY,Comb3_0_increasing.lp,Comb3_0,13,13,8,80.0,80.0
105,i2i,IF,Comb3_0_increasing.lp,Comb3_0,13,13,8,8192.0,8192.0
106,oneh,XY,Comb3_0_increasing.lp,Comb3_0,13,13,8,81920.0,80.0
107,default,QUBO,Comb3_0_increasing.lp,Comb3_0,13,13,8,8388608.0,8192.0
108,i2i+oneh,IF+XY,Comb4_0_increasing.lp,Comb4_0,14,14,9,90.0,90.0
109,i2i,IF,Comb4_0_increasing.lp,Comb4_0,14,14,9,16384.0,16384.0
110,oneh,XY,Comb4_0_increasing.lp,Comb4_0,14,14,9,23592960.0,90.0
111,default,QUBO,Comb4_0_increasing.lp,Comb4_0,14,14,9,4294967296.0,16384.0
112,i2i+oneh,IF+XY,Comb1_2_up_quadratic.lp,Comb1_2,10,10,9,25.0,25.0
113,i2i,IF,Comb1_2_up_quadratic.lp,Comb1_2,10,10,9,1024.0,1024.0
114,oneh,XY,Comb1_2_up_quadratic.lp,Comb1_2,10,10,9,102400.0,25.0
115,default,QUBO,Comb1_2_up_quadratic.lp,Comb1_2,10,10,9,4194304.0,1024.0
116,i2i+oneh,IF+XY,Comb2_0_decreasing.lp,Comb2_0,7,7,7,12.0,12.0
117,i2i,IF,Comb2_0_decreasing.lp,Comb2_0,7,7,7,128.0,128.0
118,oneh,XY,Comb2_0_decreasing.lp,Comb2_0,7,7,7,49152.0,12.0
119,default,QUBO,Comb2_0_decreasing.lp,Comb2_0,7,7,7,524288.0,128.0
120,i2i+oneh,IF+XY,Comb10_0_decreasing.lp,Comb10_0,56,56,17,656100.0,656100.0
121,i2i,IF,Comb10_0_decreasing.lp,Comb10_0,56,56,17,7.205759403792794e+16,7.205759403792794e+16
122,oneh,XY,Comb10_0_decreasing.lp,Comb10_0,56,56,17,5635856085811200.0,656100.0
123,default,QUBO,Comb10_0_decreasing.lp,Comb10_0,56,56,17,6.189700196426902e+26,7.205759403792794e+16
124,i2i+oneh,IF+XY,Comb9_2_increasing.lp,Comb9_2,63,63,18,1331000.0,1331000.0
125,i2i,IF,Comb9_2_increasing.lp,Comb9_2,63,63,18,9.223372036854776e+18,9.223372036854776e+18
126,oneh,XY,Comb9_2_increasing.lp,Comb9_2,63,63,18,9.1465623535616e+16,1331000.0
127,default,QUBO,Comb9_2_increasing.lp,Comb9_2,63,63,18,6.338253001141147e+29,9.223372036854776e+18
128,i2i+oneh,IF+XY,Comb4_2_up_quadratic.lp,Comb4_2,20,20,11,280.0,280.0
129,i2i,IF,Comb4_2_up_quadratic.lp,Comb4_2,20,20,11,1048576.0,1048576.0
130,oneh,XY,Comb4_2_up_quadratic.lp,Comb4_2,20,20,11,4697620480.0,280.0
131,default,QUBO,Comb4_2_up_quadratic.lp,Comb4_2,20,20,11,17592186044416.0,1048576.0
132,i2i+oneh,IF+XY,Comb6_2_increasing.lp,Comb6_2,34,34,14,5120.0,5120.0
133,i2i,IF,Comb6_2_increasing.lp,Comb6_2,34,34,14,17179869184.0,17179869184.0
134,oneh,XY,Comb6_2_increasing.lp,Comb6_2,34,34,14,5497558138880.0,5120.0
135,default,QUBO,Comb6_2_increasing.lp,Comb6_2,34,34,14,1.8446744073709552e+19,17179869184.0
136,i2i+oneh,IF+XY,Comb9_0_up_quadratic.lp,Comb9_0,51,51,16,373248.0,373248.0
137,i2i,IF,Comb9_0_up_quadratic.lp,Comb9_0,51,51,16,2251799813685248.0,2251799813685248.0
138,oneh,XY,Comb9_0_up_quadratic.lp,Comb9_0,51,51,16,400771988324352.0,373248.0
139,default,QUBO,Comb9_0_up_quadratic.lp,Comb9_0,51,51,16,2.4178516392292583e+24,2251799813685248.0
140,i2i+oneh,IF+XY,Comb0_2_decreasing.lp,Comb0_2,11,11,9,30.0,30.0
141,i2i,IF,Comb0_2_decreasing.lp,Comb0_2,11,11,9,2048.0,2048.0
142,oneh,XY,Comb0_2_decreasing.lp,Comb0_2,11,11,9,491520.0,30.0
143,default,QUBO,Comb0_2_decreasing.lp,Comb0_2,11,11,9,33554432.0,2048.0
144,i2i+oneh,IF+XY,Comb3_2_increasing.lp,Comb3_2,19,19,10,252.0,252.0
145,i2i,IF,Comb3_2_increasing.lp,Comb3_2,19,19,10,524288.0,524288.0
146,oneh,XY,Comb3_2_increasing.lp,Comb3_2,19,19,10,4128768.0,252.0
147,default,QUBO,Comb3_2_increasing.lp,Comb3_2,19,19,10,8589934592.0,524288.0
148,i2i+oneh,IF+XY,Comb9_0_down_quadratic.lp,Comb9_0,51,51,16,373248.0,373248.0
149,i2i,IF,Comb9_0_down_quadratic.lp,Comb9_0,51,51,16,2251799813685248.0,2251799813685248.0
150,oneh,XY,Comb9_0_down_quadratic.lp,Comb9_0,51,51,16,400771988324352.0,373248.0
151,default,QUBO,Comb9_0_down_quadratic.lp,Comb9_0,51,51,16,2.4178516392292583e+24,2251799813685248.0
152,i2i+oneh,IF+XY,Comb2_2_down_quadratic.lp,Comb2_2,11,11,9,30.0,30.0
153,i2i,IF,Comb2_2_down_quadratic.lp,Comb2_2,11,11,9,2048.0,2048.0
154,oneh,XY,Comb2_2_down_quadratic.lp,Comb2_2,11,11,9,7864320.0,30.0
155,default,QUBO,Comb2_2_down_quadratic.lp,Comb2_2,11,11,9,536870912.0,2048.0
156,i2i+oneh,IF+XY,Comb11_2_increasing.lp,Comb11_2,88,88,21,48720672.0,48720672.0
157,i2i,IF,Comb11_2_increasing.lp,Comb11_2,88,88,21,3.094850098213451e+26,3.094850098213451e+26
158,oneh,XY,Comb11_2_increasing.lp,Comb11_2,88,88,21,2.1427578150824234e+20,48720672.0
159,default,QUBO,Comb11_2_increasing.lp,Comb11_2,88,88,21,1.361129467683754e+39,3.094850098213451e+26
160,i2i+oneh,IF+XY,Comb8_0_decreasing.lp,Comb8_0,40,40,15,32768.0,32768.0
161,i2i,IF,Comb8_0_decreasing.lp,Comb8_0,40,40,15,1099511627776.0,1099511627776.0
162,oneh,XY,Comb8_0_decreasing.lp,Comb8_0,40,40,15,35184372088832.0,32768.0
163,default,QUBO,Comb8_0_decreasing.lp,Comb8_0,40,40,15,1.1805916207174113e+21,1099511627776.0
164,i2i+oneh,IF+XY,Comb8_0_down_quadratic.lp,Comb8_0,40,40,15,32768.0,32768.0
165,i2i,IF,Comb8_0_down_quadratic.lp,Comb8_0,40,40,15,1099511627776.0,1099511627776.0
166,oneh,XY,Comb8_0_down_quadratic.lp,Comb8_0,40,40,15,35184372088832.0,32768.0
167,default,QUBO,Comb8_0_down_quadratic.lp,Comb8_0,40,40,15,1.1805916207174113e+21,1099511627776.0
168,i2i+oneh,IF+XY,Comb5_2_decreasing.lp,Comb5_2,19,19,11,252.0,252.0
169,i2i,IF,Comb5_2_decreasing.lp,Comb5_2,19,19,11,524288.0,524288.0
170,oneh,XY,Comb5_2_decreasing.lp,Comb5_2,19,19,11,4227858432.0,252.0
171,default,QUBO,Comb5_2_decreasing.lp,Comb5_2,19,19,11,8796093022208.0,524288.0
172,i2i+oneh,IF+XY,Comb0_0_up_quadratic.lp,Comb0_0,7,7,7,12.0,12.0
173,i2i,IF,Comb0_0_up_quadratic.lp,Comb0_0,7,7,7,128.0,128.0
174,oneh,XY,Comb0_0_up_quadratic.lp,Comb0_0,7,7,7,12288.0,12.0
175,default,QUBO,Comb0_0_up_quadratic.lp,Comb0_0,7,7,7,131072.0,128.0
176,i2i+oneh,IF+XY,Comb3_2_down_quadratic.lp,Comb3_2,19,19,10,252.0,252.0
177,i2i,IF,Comb3_2_down_quadratic.lp,Comb3_2,19,19,10,524288.0,524288.0
178,oneh,XY,Comb3_2_down_quadratic.lp,Comb3_2,19,19,10,4128768.0,252.0
179,default,QUBO,Comb3_2_down_quadratic.lp,Comb3_2,19,19,10,8589934592.0,524288.0
180,i2i+oneh,IF+XY,Comb8_2_up_quadratic.lp,Comb8_2,50,50,17,100000.0,100000.0
181,i2i,IF,Comb8_2_up_quadratic.lp,Comb8_2,50,50,17,1125899906842624.0,1125899906842624.0
182,oneh,XY,Comb8_2_up_quadratic.lp,Comb8_2,50,50,17,6871947673600000.0,100000.0
183,default,QUBO,Comb8_2_up_quadratic.lp,Comb8_2,50,50,17,7.737125245533627e+25,1125899906842624.0
184,i2i+oneh,IF+XY,Comb0_2_down_quadratic.lp,Comb0_2,11,11,9,30.0,30.0
185,i2i,IF,Comb0_2_down_quadratic.lp,Comb0_2,11,11,9,2048.0,2048.0
186,oneh,XY,Comb0_2_down_quadratic.lp,Comb0_2,11,11,9,491520.0,30.0
187,default,QUBO,Comb0_2_down_quadratic.lp,Comb0_2,11,11,9,33554432.0,2048.0
188,i2i+oneh,IF+XY,Comb1_0_increasing.lp,Comb1_0,6,6,7,9.0,9.0
189,i2i,IF,Comb1_0_increasing.lp,Comb1_0,6,6,7,64.0,64.0
190,oneh,XY,Comb1_0_increasing.lp,Comb1_0,6,6,7,2304.0,9.0
191,default,QUBO,Comb1_0_increasing.lp,Comb1_0,6,6,7,16384.0,64.0
192,i2i+oneh,IF+XY,Comb1_2_down_quadratic.lp,Comb1_2,10,10,9,25.0,25.0
193,i2i,IF,Comb1_2_down_quadratic.lp,Comb1_2,10,10,9,1024.0,1024.0
194,oneh,XY,Comb1_2_down_quadratic.lp,Comb1_2,10,10,9,102400.0,25.0
195,default,QUBO,Comb1_2_down_quadratic.lp,Comb1_2,10,10,9,4194304.0,1024.0
196,i2i+oneh,IF+XY,Comb7_0_decreasing.lp,Comb7_0,33,33,14,4608.0,4608.0
197,i2i,IF,Comb7_0_decreasing.lp,Comb7_0,33,33,14,8589934592.0,8589934592.0
198,oneh,XY,Comb7_0_decreasing.lp,Comb7_0,33,33,14,4947802324992.0,4608.0
199,default,QUBO,Comb7_0_decreasing.lp,Comb7_0,33,33,14,9.223372036854776e+18,8589934592.0
200,i2i+oneh,IF+XY,Comb5_0_up_quadratic.lp,Comb5_0,13,13,9,80.0,80.0
201,i2i,IF,Comb5_0_up_quadratic.lp,Comb5_0,13,13,9,8192.0,8192.0
202,oneh,XY,Comb5_0_up_quadratic.lp,Comb5_0,13,13,9,20971520.0,80.0
203,default,QUBO,Comb5_0_up_quadratic.lp,Comb5_0,13,13,9,2147483648.0,8192.0
204,i2i+oneh,IF+XY,Comb7_2_down_quadratic.lp,Comb7_2,41,41,16,11000.0,11000.0
205,i2i,IF,Comb7_2_down_quadratic.lp,Comb7_2,41,41,16,2199023255552.0,2199023255552.0
206,oneh,XY,Comb7_2_down_quadratic.lp,Comb7_2,41,41,16,755914244096000.0,11000.0
207,default,QUBO,Comb7_2_down_quadratic.lp,Comb7_2,41,41,16,1.5111572745182865e+23,2199023255552.0
208,i2i+oneh,IF+XY,Comb0_0_decreasing.lp,Comb0_0,7,7,7,12.0,12.0
209,i2i,IF,Comb0_0_decreasing.lp,Comb0_0,7,7,7,128.0,128.0
210,oneh,XY,Comb0_0_decreasing.lp,Comb0_0,7,7,7,12288.0,12.0
211,default,QUBO,Comb0_0_decreasing.lp,Comb0_0,7,7,7,131072.0,128.0
212,i2i+oneh,IF+XY,Comb10_0_down_quadratic.lp,Comb10_0,56,56,17,656100.0,656100.0
213,i2i,IF,Comb10_0_down_quadratic.lp,Comb10_0,56,56,17,7.205759403792794e+16,7.205759403792794e+16
214,oneh,XY,Comb10_0_down_quadratic.lp,Comb10_0,56,56,17,5635856085811200.0,656100.0
215,default,QUBO,Comb10_0_down_quadratic.lp,Comb10_0,56,56,17,6.189700196426902e+26,7.205759403792794e+16
216,i2i+oneh,IF+XY,Comb6_0_increasing.lp,Comb6_0,26,26,12,1728.0,1728.0
217,i2i,IF,Comb6_0_increasing.lp,Comb6_0,26,26,12,67108864.0,67108864.0
218,oneh,XY,Comb6_0_increasing.lp,Comb6_0,26,26,12,28991029248.0,1728.0
219,default,QUBO,Comb6_0_increasing.lp,Comb6_0,26,26,12,1125899906842624.0,67108864.0
220,i2i+oneh,IF+XY,Comb6_2_down_quadratic.lp,Comb6_2,34,34,14,5120.0,5120.0
221,i2i,IF,Comb6_2_down_quadratic.lp,Comb6_2,34,34,14,17179869184.0,17179869184.0
222,oneh,XY,Comb6_2_down_quadratic.lp,Comb6_2,34,34,14,5497558138880.0,5120.0
223,default,QUBO,Comb6_2_down_quadratic.lp,Comb6_2,34,34,14,1.8446744073709552e+19,17179869184.0
224,i2i+oneh,IF+XY,Comb1_0_up_quadratic.lp,Comb1_0,6,6,7,9.0,9.0
225,i2i,IF,Comb1_0_up_quadratic.lp,Comb1_0,6,6,7,64.0,64.0
226,oneh,XY,Comb1_0_up_quadratic.lp,Comb1_0,6,6,7,2304.0,9.0
227,default,QUBO,Comb1_0_up_quadratic.lp,Comb1_0,6,6,7,16384.0,64.0
228,i2i+oneh,IF+XY,Comb11_0_down_quadratic.lp,Comb11_0,74,74,19,14374800.0,14374800.0
229,i2i,IF,Comb11_0_down_quadratic.lp,Comb11_0,74,74,19,1.888946593147858e+22,1.888946593147858e+22
230,oneh,XY,Comb11_0_down_quadratic.lp,Comb11_0,74,74,19,9.878287341846528e+17,14374800.0
