,pipeline_name,method,id,kind,binary_variables,vars,constraints,sv_size,search_space
266,oneh,XY,Comb9_2_down_quadratic.lp,Comb9_2,63,63,18,9.1465623535616e+16,1331000.0
267,default,QUBO,Comb9_2_down_quadratic.lp,Comb9_2,63,63,18,6.338253001141147e+29,9.223372036854776e+18
268,i2i+oneh,IF+XY,Comb2_0_down_quadratic.lp,Comb2_0,7,7,7,12.0,12.0
269,i2i,IF,Comb2_0_down_quadratic.lp,Comb2_0,7,7,7,128.0,128.0
270,oneh,XY,Comb2_0_down_quadratic.lp,Comb2_0,7,7,7,49152.0,12.0
271,default,QUBO,Comb2_0_down_quadratic.lp,Comb2_0,7,7,7,524288.0,128.0
272,i2i+oneh,IF+XY,Comb10_2_up_quadratic.lp,Comb10_2,68,68,19,2108304.0,2108304.0
273,i2i,IF,Comb10_2_up_quadratic.lp,Comb10_2,68,68,19,2.9514790517935283e+20,2.9514790517935283e+20
274,oneh,XY,Comb10_2_up_quadratic.lp,Comb10_2,68,68,19,1.159052381443326e+18,2108304.0
275,default,QUBO,Comb10_2_up_quadratic.lp,Comb10_2,68,68,19,1.6225927682921336e+32,2.9514790517935283e+20
276,i2i+oneh,IF+XY,Comb1_0_decreasing.lp,Comb1_0,6,6,7,9.0,9.0
277,i2i,IF,Comb1_0_decreasing.lp,Comb1_0,6,6,7,64.0,64.0
278,oneh,XY,Comb1_0_decreasing.lp,Comb1_0,6,6,7,2304.0,9.0
279,default,QUBO,Comb1_0_decreasing.lp,Comb1_0,6,6,7,16384.0,64.0
280,i2i+oneh,IF+XY,Comb8_2_down_quadratic.lp,Comb8_2,50,50,17,100000.0,100000.0
281,i2i,IF,Comb8_2_down_quadratic.lp,Comb8_2,50,50,17,1125899906842624.0,1125899906842624.0
282,oneh,XY,Comb8_2_down_quadratic.lp,Comb8_2,50,50,17,6871947673600000.0,100000.0
283,default,QUBO,Comb8_2_down_quadratic.lp,Comb8_2,50,50,17,7.737125245533627e+25,1125899906842624.0
284,i2i+oneh,IF+XY,Comb7_0_increasing.lp,Comb7_0,33,33,14,4608.0,4608.0
285,i2i,IF,Comb7_0_increasing.lp,Comb7_0,33,33,14,8589934592.0,8589934592.0
286,oneh,XY,Comb7_0_increasing.lp,Comb7_0,33,33,14,4947802324992.0,4608.0
287,default,QUBO,Comb7_0_increasing.lp,Comb7_0,33,33,14,9.223372036854776e+18,8589934592.0
288,i2i+oneh,IF+XY,Comb3_0_down_quadratic.lp,Comb3_0,13,13,8,80.0,80.0
289,i2i,IF,Comb3_0_down_quadratic.lp,Comb3_0,13,13,8,8192.0,8192.0
290,oneh,XY,Comb3_0_down_quadratic.lp,Comb3_0,13,13,8,81920.0,80.0
291,default,QUBO,Comb3_0_down_quadratic.lp,Comb3_0,13,13,8,8388608.0,8192.0
292,i2i+oneh,IF+XY,Comb2_0_up_quadratic.lp,Comb2_0,7,7,7,12.0,12.0
293,i2i,IF,Comb2_0_up_quadratic.lp,Comb2_0,7,7,7,128.0,128.0
294,oneh,XY,Comb2_0_up_quadratic.lp,Comb2_0,7,7,7,49152.0,12.0
295,default,QUBO,Comb2_0_up_quadratic.lp,Comb2_0,7,7,7,524288.0,128.0
296,i2i+oneh,IF+XY,Comb0_0_down_quadratic.lp,Comb0_0,7,7,7,12.0,12.0
297,i2i,IF,Comb0_0_down_quadratic.lp,Comb0_0,7,7,7,128.0,128.0
298,oneh,XY,Comb0_0_down_quadratic.lp,Comb0_0,7,7,7,12288.0,12.0
299,default,QUBO,Comb0_0_down_quadratic.lp,Comb0_0,7,7,7,131072.0,128.0
300,i2i+oneh,IF+XY,Comb3_2_decreasing.lp,Comb3_2,19,19,10,252.0,252.0
301,i2i,IF,Comb3_2_decreasing.lp,Comb3_2,19,19,10,524288.0,524288.0
302,oneh,XY,Comb3_2_decreasing.lp,Comb3_2,19,19,10,4128768.0,252.0
303,default,QUBO,Comb3_2_decreasing.lp,Comb3_2,19,19,10,8589934592.0,524288.0
304,i2i+oneh,IF+XY,Comb8_0_increasing.lp,Comb8_0,40,40,15,32768.0,32768.0
305,i2i,IF,Comb8_0_increasing.lp,Comb8_0,40,40,15,1099511627776.0,1099511627776.0
306,oneh,XY,Comb8_0_increasing.lp,Comb8_0,40,40,15,35184372088832.0,32768.0
307,default,QUBO,Comb8_0_increasing.lp,Comb8_0,40,40,15,1.1805916207174113e+21,1099511627776.0
308,i2i+oneh,IF+XY,Comb11_2_decreasing.lp,Comb11_2,88,88,21,48720672.0,48720672.0
309,i2i,IF,Comb11_2_decreasing.lp,Comb11_2,88,88,21,3.094850098213451e+26,3.094850098213451e+26
310,oneh,XY,Comb11_2_decreasing.lp,Comb11_2,88,88,21,2.1427578150824234e+20,48720672.0
311,default,QUBO,Comb11_2_decreasing.lp,Comb11_2,88,88,21,1.361129467683754e+39,3.094850098213451e+26
312,i2i+oneh,IF+XY,Comb1_0_down_quadratic.lp,Comb1_0,6,6,7,9.0,9.0
313,i2i,IF,Comb1_0_down_quadratic.lp,Comb1_0,6,6,7,64.0,64.0
314,oneh,XY,Comb1_0_down_quadratic.lp,Comb1_0,6,6,7,2304.0,9.0
315,default,QUBO,Comb1_0_down_quadratic.lp,Comb1_0,6,6,7,16384.0,64.0
316,i2i+oneh,IF+XY,Comb5_2_increasing.lp,Comb5_2,19,19,11,252.0,252.0
317,i2i,IF,Comb5_2_increasing.lp,Comb5_2,19,19,11,524288.0,524288.0
318,oneh,XY,Comb5_2_increasing.lp,Comb5_2,19,19,11,4227858432.0,252.0
319,default,QUBO,Comb5_2_increasing.lp,Comb5_2,19,19,11,8796093022208.0,524288.0
320,i2i+oneh,IF+XY,Comb7_0_up_quadratic.lp,Comb7_0,33,33,14,4608.0,4608.0
321,i2i,IF,Comb7_0_up_quadratic.lp,Comb7_0,33,33,14,8589934592.0,8589934592.0
322,oneh,XY,Comb7_0_up_quadratic.lp,Comb7_0,33,33,14,4947802324992.0,4608.0
323,default,QUBO,Comb7_0_up_quadratic.lp,Comb7_0,33,33,14,9.223372036854776e+18,8589934592.0
324,i2i+oneh,IF+XY,Comb7_0_down_quadratic.lp,Comb7_0,33,33,14,4608.0,4608.0
325,i2i,IF,Comb7_0_down_quadratic.lp,Comb7_0,33,33,14,8589934592.0,8589934592.0
326,oneh,XY,Comb7_0_down_quadratic.lp,Comb7_0,33,33,14,4947802324992.0,4608.0
327,default,QUBO,Comb7_0_down_quadratic.lp,Comb7_0,33,33,14,9.223372036854776e+18,8589934592.0
328,i2i+oneh,IF+XY,Comb10_2_increasing.lp,Comb10_2,68,68,19,2108304.0,2108304.0
329,i2i,IF,Comb10_2_increasing.lp,Comb10_2,68,68,19,2.9514790517935283e+20,2.9514790517935283e+20
330,oneh,XY,Comb10_2_increasing.lp,Comb10_2,68,68,19,1.159052381443326e+18,2108304.0
331,default,QUBO,Comb10_2_increasing.lp,Comb10_2,68,68,19,1.6225927682921336e+32,2.9514790517935283e+20
332,i2i+oneh,IF+XY,Comb9_0_decreasing.lp,Comb9_0,51,51,16,373248.0,373248.0
333,i2i,IF,Comb9_0_decreasing.lp,Comb9_0,51,51,16,2251799813685248.0,2251799813685248.0
334,oneh,XY,Comb9_0_decreasing.lp,Comb9_0,51,51,16,400771988324352.0,373248.0
335,default,QUBO,Comb9_0_decreasing.lp,Comb9_0,51,51,16,2.4178516392292583e+24,2251799813685248.0
336,i2i+oneh,IF+XY,Comb10_2_down_quadratic.lp,Comb10_2,68,68,19,2108304.0,2108304.0
337,i2i,IF,Comb10_2_down_quadratic.lp,Comb10_2,68,68,19,2.9514790517935283e+20,2.9514790517935283e+20
338,oneh,XY,Comb10_2_down_quadratic.lp,Comb10_2,68,68,19,1.159052381443326e+18,2108304.0
339,default,QUBO,Comb10_2_down_quadratic.lp,Comb10_2,68,68,19,1.6225927682921336e+32,2.9514790517935283e+20
340,i2i+oneh,IF+XY,Comb11_2_up_quadratic.lp,Comb11_2,88,88,21,48720672.0,48720672.0
341,i2i,IF,Comb11_2_up_quadratic.lp,Comb11_2,88,88,21,3.094850098213451e+26,3.094850098213451e+26
342,oneh,XY,Comb11_2_up_quadratic.lp,Comb11_2,88,88,21,2.1427578150824234e+20,48720672.0
343,default,QUBO,Comb11_2_up_quadratic.lp,Comb11_2,88,88,21,1.361129467683754e+39,3.094850098213451e+26
344,i2i+oneh,IF+XY,Comb2_2_increasing.lp,Comb2_2,11,11,9,30.0,30.0
345,i2i,IF,Comb2_2_increasing.lp,Comb2_2,11,11,9,2048.0,2048.0
346,oneh,XY,Comb2_2_increasing.lp,Comb2_2,11,11,9,7864320.0,30.0
347,default,QUBO,Comb2_2_increasing.lp,Comb2_2,11,11,9,536870912.0,2048.0
348,i2i+oneh,IF+XY,Comb6_0_down_quadratic.lp,Comb6_0,26,26,12,1728.0,1728.0
349,i2i,IF,Comb6_0_down_quadratic.lp,Comb6_0,26,26,12,67108864.0,67108864.0
350,oneh,XY,Comb6_0_down_quadratic.lp,Comb6_0,26,26,12,28991029248.0,1728.0
351,default,QUBO,Comb6_0_down_quadratic.lp,Comb6_0,26,26,12,1125899906842624.0,67108864.0
352,i2i+oneh,IF+XY,Comb4_2_decreasing.lp,Comb4_2,20,20,11,280.0,280.0
353,i2i,IF,Comb4_2_decreasing.lp,Comb4_2,20,20,11,1048576.0,1048576.0
354,oneh,XY,Comb4_2_decreasing.lp,Comb4_2,20,20,11,4697620480.0,280.0
355,default,QUBO,Comb4_2_decreasing.lp,Comb4_2,20,20,11,17592186044416.0,1048576.0
356,i2i+oneh,IF+XY,Comb11_2_down_quadratic.lp,Comb11_2,88,88,21,48720672.0,48720672.0
357,i2i,IF,Comb11_2_down_quadratic.lp,Comb11_2,88,88,21,3.094850098213451e+26,3.094850098213451e+26
358,oneh,XY,Comb11_2_down_quadratic.lp,Comb11_2,88,88,21,2.1427578150824234e+20,48720672.0
359,default,QUBO,Comb11_2_down_quadratic.lp,Comb11_2,88,88,21,1.361129467683754e+39,3.094850098213451e+26
360,i2i+oneh,IF+XY,Comb3_0_up_quadratic.lp,Comb3_0,13,13,8,80.0,80.0
361,i2i,IF,Comb3_0_up_quadratic.lp,Comb3_0,13,13,8,8192.0,8192.0
362,oneh,XY,Comb3_0_up_quadratic.lp,Comb3_0,13,13,8,81920.0,80.0
363,default,QUBO,Comb3_0_up_quadratic.lp,Comb3_0,13,13,8,8388608.0,8192.0
364,i2i+oneh,IF+XY,Comb0_0_increasing.lp,Comb0_0,7,7,7,12.0,12.0
365,i2i,IF,Comb0_0_increasing.lp,Comb0_0,7,7,7,128.0,128.0
366,oneh,XY,Comb0_0_increasing.lp,Comb0_0,7,7,7,12288.0,12.0
367,default,QUBO,Comb0_0_increasing.lp,Comb0_0,7,7,7,131072.0,128.0
368,i2i+oneh,IF+XY,Comb5_0_down_quadratic.lp,Comb5_0,13,13,9,80.0,80.0
369,i2i,IF,Comb5_0_down_quadratic.lp,Comb5_0,13,13,9,8192.0,8192.0
370,oneh,XY,Comb5_0_down_quadratic.lp,Comb5_0,13,13,9,20971520.0,80.0
371,default,QUBO,Comb5_0_down_quadratic.lp,Comb5_0,13,13,9,2147483648.0,8192.0
372,i2i+oneh,IF+XY,Comb6_0_decreasing.lp,Comb6_0,26,26,12,1728.0,1728.0
373,i2i,IF,Comb6_0_decreasing.lp,Comb6_0,26,26,12,67108864.0,67108864.0
374,oneh,XY,Comb6_0_decreasing.lp,Comb6_0,26,26,12,28991029248.0,1728.0
375,default,QUBO,Comb6_0_decreasing.lp,Comb6_0,26,26,12,1125899906842624.0,67108864.0
376,i2i+oneh,IF+XY,Comb6_0_up_quadratic.lp,Comb6_0,26,26,12,1728.0,1728.0
377,i2i,IF,Comb6_0_up_quadratic.lp,Comb6_0,26,26,12,67108864.0,67108864.0
378,oneh,XY,Comb6_0_up_quadratic.lp,Comb6_0,26,26,12,28991029248.0,1728.0
379,default,QUBO,Comb6_0_up_quadratic.lp,Comb6_0,26,26,12,1125899906842624.0,67108864.0
380,i2i+oneh,IF+XY,Comb4_0_down_quadratic.lp,Comb4_0,14,14,9,90.0,90.0
381,i2i,IF,Comb4_0_down_quadratic.lp,Comb4_0,14,14,9,16384.0,16384.0
382,oneh,XY,Comb4_0_down_quadratic.lp,Comb4_0,14,14,9,23592960.0,90.0
383,default,QUBO,Comb4_0_down_quadratic.lp,Comb4_0,14,14,9,4294967296.0,16384.0
